Zipcode,GM_SAMP_COLLECTION_DATE,GM_RESULT,GM_WELL_CATEGORY
95776,11/16/18,19.0,Municipal
95776,7/25/19,17.0,Municipal
95776,2/26/02,12.0,Municipal
95776,6/25/02,14.0,Municipal
95776,4/28/04,11.0,Municipal
95776,5/19/04,13.0,Municipal
95776,6/6/06,13.0,Municipal
95776,9/12/06,12.0,Municipal
95776,10/17/06,12.0,Municipal
95776,1/23/07,12.0,Municipal
95776,8/30/07,11.0,Municipal
95776,10/31/07,11.0,Municipal
95776,1/15/08,13.0,Municipal
95776,4/8/08,11.0,Municipal
95776,7/8/08,11.0,Municipal
95776,1/12/09,12.0,Municipal
95776,4/28/09,12.0,Municipal
95776,8/11/09,11.0,Municipal
95776,10/27/09,11.0,Municipal
95776,3/23/09,11.0,Municipal
95776,6/9/09,13.0,Municipal
95776,5/9/19,11.0,Municipal
95776,11/7/19,11.0,Municipal
95776,12/12/19,10.0,Municipal
95776,1/9/20,12.0,Municipal
95776,2/13/20,12.0,Municipal
95776,3/12/20,12.0,Municipal
95776,4/9/20,11.0,Municipal
95776,5/14/20,10.0,Municipal
95776,6/11/20,10.0,Municipal
95776,7/9/20,10.0,Municipal
95776,9/10/20,10.0,Municipal
95776,8/1/00,21.0,Municipal
95776,12/10/20,10.0,Municipal
95776,12/11/01,11.0,Municipal
95776,4/5/05,12.0,Municipal
95776,4/28/09,12.0,Municipal
95776,3/14/17,21.0,Municipal
95776,10/29/02,15.0,Municipal
95776,9/30/03,15.0,Municipal
95776,11/16/04,14.0,Municipal
95776,10/11/05,14.0,Municipal
95776,10/17/06,11.0,Municipal
95776,10/9/07,12.0,Municipal
95776,10/14/08,12.0,Municipal
95776,10/27/09,12.0,Municipal
95776,10/12/10,12.0,Municipal
95776,10/11/11,11.0,Municipal
95776,10/9/12,11.0,Municipal
93257,11/17/20,22.0,Domestic
93257,12/2/20,12.3,Domestic
93257,10/26/20,43.9,Domestic
93257,10/19/20,21.6,Domestic
93257,10/7/20,16.3,Domestic
93257,12/2/20,25.8,Domestic
93257,11/19/20,15.0,Domestic
93257,12/2/20,12.0,Domestic
93257,3/10/20,11.0,Domestic
93257,10/19/20,21.8,Domestic
93257,12/11/20,29.6,Domestic
93257,12/11/20,29.6,Domestic
93257,11/18/20,21.7,Domestic
93257,11/16/20,14.1,Domestic
93257,12/7/20,10.9,Domestic
93257,12/7/20,11.2,Domestic
93257,2/4/14,10.1,Municipal
93257,2/19/14,10.3,Municipal
93257,6/3/14,10.1,Municipal
93257,8/5/14,10.0,Municipal
93257,9/2/14,10.1,Municipal
93257,12/2/14,10.1,Municipal
93257,1/6/15,11.1,Municipal
93257,4/7/15,10.8,Municipal
93257,5/5/15,10.8,Municipal
93257,7/7/15,11.1,Municipal
93257,8/4/15,10.0,Municipal
93257,9/1/15,10.6,Municipal
93257,10/6/15,10.9,Municipal
93257,2/2/16,10.2,Municipal
93257,5/3/16,11.6,Municipal
93257,8/2/16,10.0,Municipal
93257,11/1/16,11.1,Municipal
93257,2/7/17,10.6,Municipal
93257,5/2/17,10.1,Municipal
93257,8/1/17,10.9,Municipal
93257,9/5/17,10.9,Municipal
93257,11/7/17,11.5,Municipal
93257,2/6/18,10.7,Municipal
93257,5/1/18,12.3,Municipal
93257,8/7/18,12.9,Municipal
93257,11/6/18,11.2,Municipal
93257,11/13/18,10.3,Municipal
93257,2/6/19,10.4,Municipal
93257,5/7/19,11.1,Municipal
93257,8/6/19,10.6,Municipal
93257,11/5/19,12.1,Municipal
93257,2/4/20,11.5,Municipal
93257,5/5/20,10.1,Municipal
93257,8/4/20,11.3,Municipal
93257,11/9/20,11.0,Municipal
93257,6/21/01,12.5,Municipal
93257,9/10/03,14.0,Municipal
93257,9/16/03,14.0,Municipal
93257,4/20/04,11.0,Municipal
93257,4/27/04,11.0,Municipal
93257,5/4/04,12.0,Municipal
93257,6/1/04,16.0,Municipal
93257,6/8/04,15.0,Municipal
93257,6/15/04,15.0,Municipal
93257,6/22/04,16.0,Municipal
93257,6/22/04,16.0,Municipal
93257,7/6/04,16.0,Municipal
93257,7/12/04,15.0,Municipal
93257,7/20/04,17.0,Municipal
93257,7/27/04,18.0,Municipal
93257,8/3/04,16.0,Municipal
93257,8/10/04,17.0,Municipal
93257,8/17/04,17.0,Municipal
93257,8/24/04,18.0,Municipal
93257,8/30/04,17.0,Municipal
93257,8/31/04,17.4,Municipal
93257,9/7/04,18.0,Municipal
93257,9/14/04,16.0,Municipal
93257,9/21/04,16.0,Municipal
93257,9/28/04,15.0,Municipal
93257,10/5/04,15.0,Municipal
93257,10/12/04,13.0,Municipal
93257,10/19/04,13.0,Municipal
93257,10/26/04,11.0,Municipal
93257,6/21/05,11.0,Municipal
93257,7/5/05,13.0,Municipal
93257,7/12/05,14.0,Municipal
93257,7/19/05,15.0,Municipal
93257,7/25/05,16.0,Municipal
93257,8/2/05,16.0,Municipal
93257,8/8/05,17.0,Municipal
93257,8/16/05,17.0,Municipal
93257,8/23/05,17.0,Municipal
93257,9/6/05,17.0,Municipal
93257,9/12/05,17.0,Municipal
93257,9/20/05,17.0,Municipal
93257,9/27/05,18.0,Municipal
93257,10/4/05,16.0,Municipal
93257,10/11/05,16.0,Municipal
93257,10/25/05,13.0,Municipal
93257,11/1/05,14.0,Municipal
93257,11/8/05,12.0,Municipal
93257,11/14/05,12.0,Municipal
93257,11/21/05,12.0,Municipal
93257,5/30/06,12.0,Municipal
93257,6/5/06,13.0,Municipal
93257,6/12/06,14.0,Municipal
93257,6/19/06,15.0,Municipal
93257,6/26/06,16.0,Municipal
93257,7/5/06,17.0,Municipal
93257,7/10/06,16.0,Municipal
93257,7/17/06,17.0,Municipal
93257,7/24/06,17.0,Municipal
93257,8/1/06,17.0,Municipal
93257,8/7/06,17.0,Municipal
93257,8/14/06,18.0,Municipal
93257,8/21/06,17.0,Municipal
93257,8/28/06,16.0,Municipal
93257,9/5/06,16.0,Municipal
93257,9/11/06,17.0,Municipal
93257,9/18/06,17.0,Municipal
93257,9/25/06,16.0,Municipal
93257,10/2/06,14.0,Municipal
93257,6/18/07,16.0,Municipal
93257,6/25/07,16.0,Municipal
93257,7/2/07,15.0,Municipal
93257,7/9/07,15.0,Municipal
93257,7/16/07,16.0,Municipal
93257,7/23/07,15.0,Municipal
93257,7/30/07,15.0,Municipal
93257,8/14/07,15.0,Municipal
93257,8/21/07,12.0,Municipal
93257,8/28/07,14.0,Municipal
93257,9/4/07,15.0,Municipal
93257,9/18/07,13.0,Municipal
93257,9/25/07,12.0,Municipal
93257,10/2/07,12.0,Municipal
93257,10/9/07,12.0,Municipal
93257,5/27/08,10.0,Municipal
93257,6/3/08,11.0,Municipal
93257,6/10/08,10.0,Municipal
93257,6/17/08,12.0,Municipal
93257,6/24/08,12.0,Municipal
93257,7/1/08,13.0,Municipal
93257,7/8/08,13.0,Municipal
93257,7/15/08,14.0,Municipal
93257,7/22/08,13.0,Municipal
93257,7/29/08,16.0,Municipal
93257,8/5/08,15.0,Municipal
93257,8/12/08,16.0,Municipal
93257,8/19/08,14.0,Municipal
93257,8/26/08,15.0,Municipal
93257,9/2/08,18.0,Municipal
93257,9/9/08,13.0,Municipal
93257,9/16/08,13.0,Municipal
93257,9/23/08,13.0,Municipal
93257,9/30/08,12.0,Municipal
93257,10/7/08,14.0,Municipal
93257,10/14/08,14.0,Municipal
93257,10/21/08,14.0,Municipal
93257,11/4/08,11.0,Municipal
93257,6/16/09,12.0,Municipal
93257,6/23/09,12.0,Municipal
93257,6/30/09,14.0,Municipal
93257,7/7/09,14.0,Municipal
93257,7/14/09,14.0,Municipal
93257,7/21/09,15.0,Municipal
93257,7/28/09,15.0,Municipal
93257,8/4/09,14.0,Municipal
93257,8/18/09,15.0,Municipal
93257,9/1/09,17.0,Municipal
93257,7/12/11,12.0,Municipal
93257,8/9/11,13.0,Municipal
93257,8/23/11,14.0,Municipal
93257,8/29/11,14.0,Municipal
93257,9/20/11,10.0,Municipal
93257,9/27/11,12.0,Municipal
93257,10/4/11,11.0,Municipal
93257,10/11/11,11.0,Municipal
93257,10/18/11,12.0,Municipal
93257,10/25/11,13.0,Municipal
93257,6/12/12,10.0,Municipal
93257,6/26/12,12.0,Municipal
93257,7/17/12,12.0,Municipal
93257,7/31/12,12.0,Municipal
93257,8/14/12,14.0,Municipal
93257,8/28/12,14.0,Municipal
93257,9/4/12,14.0,Municipal
93257,9/11/12,14.0,Municipal
93257,9/17/12,14.0,Municipal
93257,9/24/12,16.0,Municipal
93257,10/1/12,14.0,Municipal
93257,10/8/12,13.0,Municipal
93257,10/22/12,12.0,Municipal
93257,10/29/12,12.0,Municipal
93257,11/5/12,11.0,Municipal
93257,5/13/13,11.0,Municipal
93257,5/20/13,12.0,Municipal
93257,5/28/13,12.0,Municipal
93257,6/3/13,12.0,Municipal
93257,6/10/13,12.0,Municipal
93257,6/17/13,12.0,Municipal
93257,7/2/13,13.0,Municipal
93257,7/8/13,14.0,Municipal
93257,7/15/13,11.0,Municipal
93257,7/22/13,10.0,Municipal
93257,7/29/13,12.0,Municipal
93257,8/5/13,12.0,Municipal
93257,8/12/13,13.0,Municipal
93257,8/19/13,11.0,Municipal
93257,8/26/13,13.0,Municipal
93257,9/3/13,14.0,Municipal
93257,9/9/13,14.0,Municipal
93257,9/16/13,12.0,Municipal
93257,9/23/13,12.0,Municipal
93257,10/1/13,14.0,Municipal
93257,10/7/13,14.0,Municipal
93257,10/14/13,13.0,Municipal
93257,5/27/14,12.0,Municipal
93257,6/2/14,11.0,Municipal
93257,6/9/14,11.0,Municipal
93257,6/16/14,10.0,Municipal
93257,6/23/14,11.0,Municipal
93257,6/30/14,12.0,Municipal
93257,7/7/14,12.0,Municipal
93257,7/14/14,14.0,Municipal
93257,5/26/15,10.0,Municipal
93257,6/24/18,10.0,Municipal
93257,7/1/18,10.0,Municipal
93257,7/8/18,10.0,Municipal
93257,7/29/18,10.0,Municipal
93257,8/5/18,10.0,Municipal
93257,8/12/18,10.0,Municipal
93257,8/26/18,10.0,Municipal
93257,9/17/18,11.0,Municipal
93257,6/24/19,10.0,Municipal
93257,7/1/19,10.0,Municipal
93257,7/8/19,11.0,Municipal
93257,7/15/19,11.0,Municipal
93257,7/22/19,12.0,Municipal
93257,7/29/19,12.0,Municipal
93257,8/5/19,12.0,Municipal
93257,8/12/19,12.0,Municipal
93257,8/18/19,12.0,Municipal
93257,8/26/19,12.0,Municipal
93257,9/2/19,10.0,Municipal
93257,9/9/19,13.0,Municipal
93257,9/16/19,11.0,Municipal
93257,9/23/19,11.0,Municipal
93257,11/4/19,10.0,Municipal
93257,11/18/19,10.0,Municipal
93257,6/1/20,10.0,Municipal
93257,6/8/20,11.0,Municipal
93257,6/15/20,12.0,Municipal
93257,6/22/20,13.0,Municipal
93257,6/29/20,12.0,Municipal
93257,7/6/20,14.0,Municipal
93257,7/13/20,13.0,Municipal
93257,7/20/20,13.0,Municipal
93257,7/27/20,13.0,Municipal
93257,8/10/20,13.0,Municipal
93257,8/17/20,12.0,Municipal
93257,8/24/20,12.0,Municipal
93257,8/31/20,12.0,Municipal
93257,9/20/20,13.0,Municipal
93257,9/28/20,10.0,Municipal
93257,11/2/20,10.0,Municipal
93257,7/11/13,16.6,Municipal
93257,4/1/15,15.0,Municipal
93257,7/1/15,14.0,Municipal
93257,10/5/15,13.9,Municipal
93257,1/4/16,12.0,Municipal
93257,4/4/16,12.4,Municipal
93257,7/5/16,15.3,Municipal
93257,10/3/16,15.4,Municipal
93257,1/3/17,15.5,Municipal
93257,4/3/17,16.2,Municipal
93257,7/5/17,15.5,Municipal
93257,10/3/17,16.2,Municipal
93257,1/2/18,24.2,Municipal
93257,4/3/18,15.5,Municipal
93257,7/2/18,15.1,Municipal
93257,10/1/18,15.6,Municipal
93257,1/7/19,15.8,Municipal
93257,4/1/19,15.5,Municipal
93257,7/8/19,15.4,Municipal
93257,10/3/19,15.5,Municipal
93257,1/6/20,15.2,Municipal
93257,4/1/20,15.3,Municipal
93257,7/1/20,18.8,Municipal
93257,10/5/20,16.6,Municipal
