Zipcode,GM_SAMP_COLLECTION_DATE,GM_RESULT,GM_WELL_CATEGORY
95961,7/10/96,7.7,Municipal
95961,1/27/99,18.0,Municipal
95961,12/20/00,13.0,Municipal
95961,1/10/01,13.3,Municipal
95961,1/31/01,13.0,Municipal
95961,2/14/01,13.4,Municipal
95961,3/19/03,13.0,Municipal
95961,8/25/04,13.2,Municipal
95961,8/24/05,12.0,Municipal
95961,6/28/06,12.9,Municipal
95961,6/27/07,10.0,Municipal
95961,6/25/08,8.141,Municipal
95961,6/24/09,10.7,Municipal
95670,8/23/01,5.0,Municipal
95670,4/5/05,15.7,"Water Supply, Other"
95991,10/10/95,7.0,Municipal
95991,9/10/96,6.01,Municipal
95991,4/15/97,5.31,Municipal
95991,7/31/03,7.12,Municipal
95692,8/22/01,6.3,Municipal
95692,1/9/02,5.0,Municipal
95692,1/28/04,5.318,Municipal
95692,4/21/04,5.327,Municipal
95692,8/11/04,5.306,Municipal
95692,11/18/04,5.458,Municipal
95692,2/8/05,5.266,Municipal
95692,8/16/05,5.056,Municipal
95692,7/11/06,6.48,Municipal
95692,4/15/08,6.434,Municipal
95692,11/10/09,5.207,Municipal
95692,5/17/90,5.6,Municipal
95692,1/22/96,5.2,Municipal
95692,9/8/99,5.4,Municipal
95692,11/10/09,5.076,Municipal
95692,5/17/90,6.3,Municipal
95692,1/22/96,6.6,Municipal
95692,7/22/98,7.7,Municipal
95692,9/8/99,6.66,Municipal
95692,7/15/09,5.085,Municipal
95692,4/4/01,5.4,Municipal
95692,8/2/01,5.2,Municipal
95692,10/9/01,5.4,Municipal
95692,1/9/02,5.0,Municipal
95692,7/31/02,5.245,Municipal
95692,1/9/03,5.006,Municipal
95692,1/14/03,5.2,Municipal
95692,8/13/03,5.74,Municipal
95692,4/21/04,5.729,Municipal
95692,11/18/04,5.266,Municipal
95692,2/8/05,5.629,Municipal
95692,8/16/05,5.47,Municipal
95692,12/7/05,5.155,Municipal
95692,4/11/06,5.446,Municipal
95692,7/11/06,5.356,Municipal
95692,7/26/07,5.277,Municipal
95692,10/16/07,5.236,Municipal
95692,1/22/08,5.056,Municipal
95692,4/15/08,5.117,Municipal
95692,7/9/08,5.397,Municipal
95692,1/27/09,5.568,Municipal
95692,4/14/09,5.076,Municipal
95692,7/15/09,5.236,Municipal
95692,11/10/09,5.338,Municipal
95692,1/24/02,6.75,Municipal
95692,6/27/02,6.82,Municipal
95692,7/24/02,6.89,Municipal
95692,11/6/02,7.5,Municipal
95692,2/5/03,33.0,Municipal
95692,3/26/03,8.4,Municipal
95692,5/7/03,8.4,Municipal
95692,3/31/04,8.67,Municipal
95692,3/30/05,6.6,Municipal
95692,6/15/05,6.44,Municipal
95692,3/15/06,5.67,Municipal
95692,6/21/06,5.6,Municipal
95692,9/20/06,5.33,Municipal
95692,12/1/10,5.772,Municipal
95692,10/20/06,6.46,"Water Supply, Other"
