Zipcode,Urban
94601,True
94501,True
94560,True
94587,True
94580,True
94514,False
94703,True
95601,False
95669,False
95901,False
95974,False
95914,False
95246,False
95979,False
94549,True
94595,True
94506,True
94806,True
94801,True
94803,True
94553,True
94530,True
94572,True
95567,False
93608,False
93612,True
93630,False
93606,True
93646,False
93664,False
93703,True
93234,False
93616,False
95503,False
95554,False
95560,False
95524,False
92243,False
93526,False
93527,False
93305,True
93308,False
93311,False
93220,False
93518,False
93251,False
93226,False
93245,False
93266,False
93202,True
95485,False
96130,False
96109,False
96123,False
91504,True
91606,True
90640,True
91770,True
93535,False
90290,False
91792,True
91789,True
91791,True
91723,True
91773,True
91702,False
91741,True
91765,True
90303,True
90033,True
90032,True
90249,True
90822,True
91355,True
91350,True
91387,True
91001,True
91604,True
91402,True
91030,True
91108,True
90062,True
90293,True
90292,True
90003,True
90056,True
90732,True
90716,True
90805,True
90402,True
90010,True
90073,True
91040,True
90403,True
93550,False
92397,False
91732,True
91731,True
94949,True
94939,True
95306,False
95428,False
95429,False
95425,False
95449,False
95456,False
95432,False
95301,True
96134,False
96054,False
93517,False
89010,False
93907,False
93953,False
94567,False
94599,True
94576,False
96161,False
95977,False
92840,True
92841,True
92647,True
92673,True
92865,True
92866,True
92624,True
90743,True
95714,False
95717,False
96140,False
95915,False
95984,False
96020,False
95947,False
96118,False
92234,True
92240,True
92544,False
92543,True
92264,False
92282,False
92239,False
92201,True
92373,True
92210,False
92324,True
92399,True
95843,True
95814,True
95864,True
95655,False
95824,True
95075,False
92394,True
92338,False
92410,True
92337,True
92313,True
92325,True
92014,True
92020,True
92111,True
92108,True
92037,True
92104,True
92154,True
92067,False
92075,True
92103,True
91935,False
91978,True
91906,False
91948,False
92069,True
92010,True
92058,True
94131,True
94124,True
94134,True
94108,True
94130,True
95686,False
95242,False
95211,True
95240,True
95320,False
93405,False
93433,True
93430,False
94070,True
94065,True
94019,False
93105,False
93109,True
95138,True
95033,False
95120,True
95136,True
95123,True
94304,True
95073,False
95017,False
96011,False
96019,True
96051,False
96069,False
96033,False
96025,False
96075,False
95936,False
