Zipcode,GM_SAMP_COLLECTION_DATE,GM_RESULT,GM_WELL_CATEGORY
96088,6/15/01,1.3,Municipal
96088,11/20/00,2.0,Municipal
96088,11/4/96,0.77,Municipal
96088,10/13/99,2.0,Municipal
96088,10/24/02,1.5,Municipal
96088,10/5/03,1.3,Municipal
96088,2/13/04,2.3,Municipal
96088,2/10/05,1.7,Municipal
96088,2/10/06,2.1,Municipal
96088,2/6/07,2.0,Municipal
96088,2/11/08,1.9,Municipal
96088,2/10/09,1.9,Municipal
96088,1/13/10,1.9,Municipal
96088,10/16/02,0.0,Municipal
96088,11/19/01,0.0,Municipal
96088,10/16/02,0.0,Municipal
96088,3/15/04,0.0,Municipal
96088,10/18/04,0.0,Municipal
96088,4/18/05,0.0,Municipal
96088,4/17/06,0.0,Municipal
96088,1/22/07,0.0,Municipal
96088,4/28/08,0.0,Municipal
96088,7/23/09,0.0,Municipal
96088,6/15/10,0.0,Municipal
96088,3/9/92,0.072,Municipal
96088,12/28/95,0.0,Municipal
96088,11/18/97,0.0,Municipal
96088,11/17/98,0.0,Municipal
96088,9/21/99,0.0,Municipal
96088,1/20/00,0.0,Municipal
96088,11/19/01,0.0,Municipal
96088,10/16/02,0.0,Municipal
96088,10/18/04,0.0,Municipal
96088,4/18/05,0.0,Municipal
96088,5/21/07,0.0,Municipal
96088,4/28/08,0.0,Municipal
96088,7/23/09,0.0,Municipal
96088,11/19/01,0.0,Municipal
96088,10/16/02,0.0,Municipal
96088,6/19/06,0.0,Municipal
96088,11/20/07,0.0,Municipal
96088,7/28/08,0.0,Municipal
96088,7/23/09,0.0,Municipal
96088,6/15/10,0.0,Municipal
96088,5/23/02,0.0,Municipal
96088,10/22/91,0.036,Municipal
96088,9/5/01,0.0,Municipal
96088,1/19/04,0.0,Municipal
96088,4/21/04,0.0,Municipal
96088,11/8/05,0.0,Municipal
96088,10/17/06,0.0,Municipal
96088,8/15/07,0.0,Municipal
96088,9/6/07,0.0,Municipal
96088,8/5/08,0.0,Municipal
96088,8/6/09,0.0,Municipal
96088,2/4/10,0.0,Municipal
96088,8/5/10,0.0,Municipal
96088,11/19/01,0.0,Municipal
96088,12/18/03,0.0,Municipal
96088,12/20/04,0.0,Municipal
96088,5/21/07,0.0,Municipal
96088,4/24/08,0.0,Municipal
96088,8/24/09,0.0,Municipal
96088,10/2/02,0.0,Municipal
96088,12/20/04,0.0,Municipal
96088,12/7/06,0.0,Municipal
96088,2/4/10,0.0,Municipal
96088,12/23/03,0.0,Municipal
96088,5/16/05,0.0,Municipal
96088,5/21/07,0.0,Municipal
96088,4/28/08,0.0,Municipal
96088,5/22/08,0.0,Municipal
96088,7/23/09,0.0,Municipal
96088,12/21/04,0.0,Municipal
96088,10/16/02,0.0,Municipal
96088,9/11/03,0.0,Municipal
96088,6/19/06,0.0,Municipal
96088,4/24/08,0.0,Municipal
96088,1/20/09,0.0,Municipal
96088,5/18/10,0.0,Municipal
96088,12/21/10,0.0,Municipal
96088,10/8/01,1.3,Municipal
96088,12/20/04,0.0,Municipal
96088,5/21/07,0.0,Municipal
96088,4/24/08,0.0,Municipal
96088,1/23/02,0.0,Municipal
96088,10/8/01,0.0,Municipal
96088,10/8/01,0.0,Municipal
96088,10/2/02,0.0,Municipal
96088,12/7/06,0.0,Municipal
96088,2/4/10,0.0,Municipal
96088,12/11/03,0.0,Municipal
96088,10/18/04,0.0,Municipal
96088,5/21/07,0.0,Municipal
96088,7/23/09,0.0,Municipal
96088,12/19/01,0.0,Municipal
96088,10/16/02,0.0,Municipal
96088,9/11/03,0.0,Municipal
96088,12/21/04,0.0,Municipal
96088,6/19/06,0.0,Municipal
96088,4/24/08,0.0,Municipal
96088,1/20/09,0.0,Municipal
96088,5/18/10,0.0,Municipal
96088,12/21/10,0.0,Municipal
96088,11/19/01,0.0,Municipal
96088,1/16/03,0.0,Municipal
96088,10/18/04,0.0,Municipal
96088,4/18/05,0.0,Municipal
96088,3/27/09,0.0,Municipal
96088,12/19/01,0.0,Municipal
96088,11/20/02,0.0,Municipal
96088,6/19/06,0.0,Municipal
96088,11/20/07,0.0,Municipal
96088,7/28/08,0.0,Municipal
96088,7/23/09,0.0,Municipal
96088,6/15/10,0.0,Municipal
96088,11/19/01,0.0,Municipal
96088,12/20/04,0.0,Municipal
96088,5/21/07,0.0,Municipal
96088,4/24/08,0.0,Municipal
96088,8/24/09,0.0,Municipal
96088,2/12/90,0.0,Municipal
96088,1/11/96,3.07,Municipal
