Zipcode,GM_SAMP_COLLECTION_DATE,GM_RESULT,GM_WELL_CATEGORY
95961,1/27/99,18.0,Municipal
95961,12/20/00,13.0,Municipal
95961,1/10/01,13.3,Municipal
95961,1/31/01,13.0,Municipal
95961,2/14/01,13.4,Municipal
95961,3/19/03,13.0,Municipal
95961,8/25/04,13.2,Municipal
95961,8/24/05,12.0,Municipal
95961,6/28/06,12.9,Municipal
95961,6/27/07,10.0,Municipal
95961,6/24/09,10.7,Municipal
95926,7/6/10,11.53,Municipal
95926,7/7/10,10.44,Municipal
95926,1/12/07,12.6,Municipal
95926,4/21/07,10.6,Municipal
95926,7/3/07,16.0,Municipal
95926,12/5/94,11.6,Municipal
95926,12/20/93,14.0,Municipal
95926,12/15/94,12.0,Municipal
95926,3/23/95,14.0,Municipal
95926,5/12/05,10.36,Municipal
95926,5/12/05,10.43,Municipal
95926,5/12/05,10.4,Municipal
95926,5/12/05,10.57,Municipal
95926,5/12/05,10.36,Municipal
95926,5/12/05,10.38,Municipal
95926,1/16/08,11.68,Municipal
95926,10/5/05,15.5,Municipal
95926,10/5/05,13.7,Municipal
95926,10/5/05,13.7,Municipal
95926,10/5/05,15.5,Municipal
95926,10/25/05,13.8,Municipal
95926,8/21/06,10.4,"Water Supply, Other"
96080,6/22/05,11.3,Municipal
96080,5/14/07,10.0,Municipal
96080,8/26/09,13.4,Municipal
96080,7/6/09,12.3,Municipal
96080,7/15/09,12.0,Municipal
96080,8/3/09,12.0,Municipal
96080,8/7/09,10.7,Municipal
96080,7/29/10,16.2,Municipal
96080,2/7/08,12.0,Municipal
96080,3/6/08,13.6,Municipal
96080,3/6/09,13.2,Municipal
96080,4/3/09,12.1,Municipal
96080,10/16/09,10.1,Municipal
96080,9/11/02,12.6,"Water Supply, Other"
96080,11/5/02,11.9,"Water Supply, Other"
96080,9/10/02,12.7,"Water Supply, Other"
96080,11/5/02,12.3,"Water Supply, Other"
96080,9/10/02,11.8,"Water Supply, Other"
96080,11/5/02,11.2,"Water Supply, Other"
96080,6/9/03,11.9,"Water Supply, Other"
96080,9/10/02,14.0,"Water Supply, Other"
96080,11/5/02,13.9,"Water Supply, Other"
96080,9/10/02,13.0,"Water Supply, Other"
96080,11/5/02,12.0,"Water Supply, Other"
96080,9/11/02,10.5,"Water Supply, Other"
96080,9/10/02,10.6,"Water Supply, Other"
96080,11/6/02,10.7,"Water Supply, Other"
96080,5/18/05,11.0,Domestic
96080,5/4/05,14.0,Domestic
96080,10/4/07,24.4,"Water Supply, Other"
96080,11/26/07,11.0,"Water Supply, Other"
96080,1/7/08,14.1,"Water Supply, Other"
96080,10/30/07,10.0,"Water Supply, Other"
96080,12/13/07,24.3,"Water Supply, Other"
95928,9/30/08,11.6,Municipal
95928,11/13/07,11.7,Municipal
95928,3/24/08,10.2,Municipal
95928,6/30/08,10.5,Municipal
95928,12/9/08,10.8,Municipal
95928,3/24/09,10.3,Municipal
95928,10/11/10,10.5,Municipal
95928,10/25/06,13.0,"Water Supply, Other"
95928,10/19/06,19.8,"Water Supply, Other"
95928,10/12/05,20.8,Municipal
95938,6/1/09,12.5,Municipal
95938,10/19/06,14.0,"Water Supply, Other"
95938,6/2/05,24.4,"Water Supply, Other"
95966,7/4/01,10.0,Municipal
95966,10/6/05,10.0,Municipal
95966,1/3/07,10.4,Municipal
95966,1/12/07,10.3,Municipal
95966,4/10/07,10.4,Municipal
95966,7/5/07,13.0,Municipal
95966,4/28/09,12.4,Municipal
95966,4/23/10,13.2,Municipal
95966,9/4/07,13.0,Municipal
95966,7/26/06,10.4,Municipal
95966,7/26/06,45.9,"Water Supply, Other"
95966,7/26/06,10.4,"Water Supply, Other"
95966,6/11/96,20.8,"Water Supply, Other"
95966,6/11/08,16.8,"Water Supply, Other"
95953,8/10/98,10.7,Municipal
95953,9/10/98,11.6,Municipal
95953,10/2/98,11.4,Municipal
95953,10/26/99,12.0,Municipal
95953,9/7/04,10.2,Municipal
95953,8/1/06,10.9,Municipal
95953,8/15/06,10.35,Municipal
95953,11/15/94,11.6,Municipal
95953,12/6/94,12.3,Municipal
95953,4/7/05,24.13,Municipal
95953,9/3/02,11.0,Municipal
95953,2/4/03,11.0,Municipal
95953,5/6/03,12.0,Municipal
95953,8/12/03,10.2,Municipal
95953,12/20/01,11.0,Municipal
95953,2/6/02,15.0,Municipal
95953,3/21/02,12.0,Municipal
95953,4/19/02,11.0,Municipal
95953,4/25/02,10.0,Municipal
95953,4/29/02,10.0,Municipal
95953,12/10/02,10.0,Municipal
95953,6/11/03,10.0,Municipal
95953,9/4/03,11.0,Municipal
95953,12/8/03,12.0,Municipal
95953,3/15/04,19.0,Municipal
95953,6/4/04,14.0,Municipal
95953,9/13/04,15.0,Municipal
95953,12/1/04,13.0,Municipal
95953,3/2/05,14.0,Municipal
95953,6/6/05,12.0,Municipal
95953,9/14/05,11.0,Municipal
95953,12/9/05,14.0,Municipal
95953,3/14/06,22.6,Municipal
95953,6/5/06,21.0,Municipal
95953,12/4/06,17.0,Municipal
95953,3/5/07,25.3,Municipal
95953,6/9/07,19.0,Municipal
95953,9/10/07,19.5,Municipal
95953,12/19/07,20.8,Municipal
95953,6/10/08,19.1,Municipal
95953,9/4/08,21.3,Municipal
95953,12/2/08,23.9,Municipal
95953,9/3/09,18.9,Municipal
95953,12/2/09,21.0,Municipal
95953,3/3/10,20.9,Municipal
95953,6/3/10,18.4,Municipal
95953,9/13/10,19.0,Municipal
95953,12/2/10,21.0,Municipal
95953,6/11/01,16.0,Municipal
95953,1/9/07,10.15,Municipal
95953,4/13/07,10.25,Municipal
95953,5/12/09,17.79,Municipal
95953,6/12/96,35.9,"Water Supply, Other"
95953,6/10/08,40.0,"Water Supply, Other"
95953,7/10/06,27.7,"Water Supply, Other"
95901,3/22/05,10.1,Municipal
95901,12/27/05,10.1,Municipal
95901,3/28/06,10.0,Municipal
95901,6/27/06,10.7,Municipal
95901,9/26/06,10.7,Municipal
95901,12/19/06,10.3,Municipal
95901,3/27/07,10.6,Municipal
95901,6/26/07,11.3,Municipal
95901,9/25/07,11.4,Municipal
95901,12/28/07,10.1,Municipal
95901,2/18/09,10.8,Municipal
95901,12/8/09,11.8,Municipal
95901,3/16/10,10.9,Municipal
95901,9/7/10,13.1,Municipal
95901,9/10/10,13.5,Municipal
95901,12/14/10,12.0,Municipal
95901,12/28/10,11.9,Municipal
95901,6/30/99,10.0,Municipal
95901,12/27/99,14.0,Municipal
95901,12/28/00,16.0,Municipal
95901,3/29/01,14.0,Municipal
95901,6/28/01,22.6,Municipal
95901,12/23/01,16.0,Municipal
95901,7/8/03,13.0,Municipal
95901,1/8/04,12.0,Municipal
95901,1/14/05,13.0,Municipal
95901,6/16/05,22.6,Municipal
95901,7/1/05,24.8,Municipal
95901,10/6/05,21.0,Municipal
95901,1/19/06,12.0,Municipal
95901,2/3/10,10.1,Municipal
95901,12/17/02,10.6,Municipal
95901,3/9/05,11.0,Municipal
95901,6/13/06,11.5,Municipal
95901,3/15/06,15.4,Municipal
95901,7/25/07,15.1,"Water Supply, Other"
95901,8/28/07,14.4,"Water Supply, Other"
95692,2/5/03,33.0,Municipal
95692,8/11/10,19.2,"Water Supply, Other"
95776,2/26/02,12.0,Municipal
95776,6/25/02,14.0,Municipal
95776,4/28/04,11.0,Municipal
95776,5/19/04,13.0,Municipal
95776,6/6/06,13.0,Municipal
95776,9/12/06,12.0,Municipal
95776,10/17/06,12.0,Municipal
95776,1/23/07,12.0,Municipal
95776,8/30/07,11.0,Municipal
95776,10/31/07,11.0,Municipal
95776,1/15/08,13.0,Municipal
95776,4/8/08,11.0,Municipal
95776,7/8/08,11.0,Municipal
95776,1/12/09,12.0,Municipal
95776,4/28/09,12.0,Municipal
95776,8/11/09,11.0,Municipal
95776,10/27/09,11.0,Municipal
95776,3/23/09,11.0,Municipal
95776,6/9/09,13.0,Municipal
95776,8/1/00,21.0,Municipal
95776,12/11/01,11.0,Municipal
95776,4/5/05,12.0,Municipal
95776,4/28/09,12.0,Municipal
95776,10/29/02,15.0,Municipal
95776,9/30/03,15.0,Municipal
95776,11/16/04,14.0,Municipal
95776,10/11/05,14.0,Municipal
95776,10/17/06,11.0,Municipal
95776,10/9/07,12.0,Municipal
95776,10/14/08,12.0,Municipal
95776,10/27/09,12.0,Municipal
95776,10/12/10,12.0,Municipal
95695,10/23/01,12.0,Municipal
95695,12/9/03,12.0,Municipal
95695,5/19/04,12.0,Municipal
95695,10/11/05,13.0,Municipal
95695,4/18/06,11.0,Municipal
95695,3/19/07,12.0,Municipal
95695,4/18/07,12.0,Municipal
95695,5/21/07,12.0,Municipal
95695,6/18/07,12.0,Municipal
95695,7/18/07,12.0,Municipal
95695,8/14/07,12.0,Municipal
95695,9/10/07,12.0,Municipal
95695,10/15/07,12.0,Municipal
95695,11/14/07,12.0,Municipal
95695,12/10/07,11.0,Municipal
95695,1/8/08,11.0,Municipal
95695,2/11/08,11.0,Municipal
95695,3/10/08,11.0,Municipal
95695,4/15/08,12.0,Municipal
95695,5/12/08,12.0,Municipal
95695,6/9/08,11.0,Municipal
95695,7/14/08,11.0,Municipal
95695,8/11/08,12.0,Municipal
95695,9/9/08,11.0,Municipal
95695,10/13/08,11.0,Municipal
95695,11/10/08,12.0,Municipal
95695,12/8/08,12.0,Municipal
95695,1/12/09,12.0,Municipal
95695,2/9/09,12.0,Municipal
95695,3/10/09,11.0,Municipal
95695,4/13/09,11.0,Municipal
95695,5/11/09,10.0,Municipal
95695,6/1/09,10.0,Municipal
95695,7/13/09,10.0,Municipal
95695,8/10/09,11.0,Municipal
95695,9/14/09,11.0,Municipal
95695,10/12/09,11.0,Municipal
95695,1/11/10,11.0,Municipal
95695,3/8/10,10.0,Municipal
95695,4/12/10,10.0,Municipal
95695,6/14/10,11.0,Municipal
95695,9/13/10,10.0,Municipal
95695,12/18/96,11.0,Municipal
95695,2/27/97,10.0,Municipal
95695,9/6/05,13.0,Municipal
95695,10/23/01,10.0,Municipal
95695,2/26/02,10.0,Municipal
95695,8/13/02,10.0,Municipal
95695,2/4/03,11.0,Municipal
95695,10/29/02,50.8,Municipal
95695,4/5/05,41.8,Municipal
95695,4/25/07,23.7,Municipal
95695,5/2/07,26.9,Municipal
95695,4/8/08,18.0,Municipal
95695,10/14/08,52.4,Municipal
95695,10/28/08,54.2,Municipal
95695,4/28/09,27.3,Municipal
95695,10/27/09,44.5,Municipal
95695,10/27/09,44.5,Municipal
95695,4/27/10,18.0,Municipal
95695,9/12/06,18.0,Municipal
95695,3/13/07,17.0,Municipal
95695,9/11/07,15.0,Municipal
95695,3/11/08,15.0,Municipal
95695,9/9/08,16.0,Municipal
95695,3/23/09,16.0,Municipal
95695,3/9/10,15.0,Municipal
95695,2/26/02,17.0,Municipal
95695,8/13/02,20.0,Municipal
95695,2/14/06,10.0,Municipal
95695,2/12/02,11.0,Municipal
95695,2/12/02,12.0,Municipal
95695,2/28/02,11.0,Municipal
95695,3/6/02,10.0,Municipal
95695,3/7/02,10.0,Municipal
95695,2/4/03,12.0,Municipal
95695,2/11/03,10.0,Municipal
95695,3/4/03,11.0,Municipal
95695,4/15/03,11.0,Municipal
95695,1/10/06,10.0,Municipal
95695,1/15/08,11.0,Municipal
95695,1/12/10,10.0,Municipal
95695,4/7/08,22.9,"Water Supply, Other"
95695,7/31/06,13.0,"Water Supply, Other"
95695,7/31/06,57.7,"Water Supply, Other"
95620,12/11/01,13.0,Municipal
