,geometry,Dom_HH,index_right,Zipcode
6941,POINT (-121.814556092553 37.96108207060968),0.667117708522,340.0,94531
6944,POINT (-121.86954362187166 37.96120119970612),0.750148833827,243.0,94565
6946,POINT (-121.9059071509014 37.961481007238184),2.48376127868,208.0,94521
6959,POINT (-121.9046123115644 37.91781542378618),4.59764016731,286.0,94517
6960,POINT (-121.88621319753209 37.91786164958552),0.0,286.0,94517
6964,POINT (-121.81465222362637 37.91775223649871),1.87537208457,336.0,94513
6965,POINT (-121.8143457394714 37.90342654306091),1.50029766766,286.0,94517
6966,POINT (-121.83276706343733 37.90342525736234),0.0,286.0,94517
6967,POINT (-121.85055900943735 37.903535070929784),1.5014693268,286.0,94517
6968,POINT (-121.86794201485681 37.90349348448671),2.36305352316,286.0,94517
6969,POINT (-121.88588318240777 37.903544673307785),0.0,286.0,94517
6970,POINT (-121.9045683658296 37.903463332004286),0.0,286.0,94517
6971,POINT (-121.90462471140599 37.889043758194255),0.0,286.0,94517
6972,POINT (-121.8860348269588 37.88907007120899),0.639219162156,286.0,94517
6973,POINT (-121.86782210319075 37.889026479834456),24.8351263199,286.0,94517
6974,POINT (-121.85002413885994 37.889007730217536),16.393355876,286.0,94517
6975,POINT (-121.8320520620522 37.88911091595169),1.66560407415,286.0,94517
6976,POINT (-121.8139394264386 37.889053146617655),6.41196832049,286.0,94517
6977,POINT (-121.9237734630689 37.96230098995512),3.23644783114,243.0,94565
6978,POINT (-121.94185044605042 37.96230470423811),2.84731099444,208.0,94521
6979,POINT (-121.95995345570219 37.961568616521724),64.0532031101,208.0,94521
6980,POINT (-121.9777825419404 37.96027260512459),13.0734072152,208.0,94521
6981,POINT (-121.99685652450411 37.96012821021908),8.24742388402,208.0,94521
6982,POINT (-122.0160094936369 37.96002373586209),3.79838865992,287.0,94518
6983,POINT (-122.01595340727935 37.94599996238977),3.25893044837,287.0,94518
6984,POINT (-121.99680871873043 37.94600463912804),1.02462597674,287.0,94518
6985,POINT (-121.97818943734003 37.94653959796085),1.12474500997,208.0,94521
6986,POINT (-121.95994049355497 37.94837116445709),13.4984045291,208.0,94521
6987,POINT (-121.94196085870706 37.9485129549796),4.41391392495,286.0,94517
6988,POINT (-121.92372370879451 37.94824159634318),5.41911551712,286.0,94517
6989,POINT (-121.92358870943622 37.93381413545944),4.26891195272,286.0,94517
6990,POINT (-121.94199757729595 37.9339298264613),2.7259820297,286.0,94517
6991,POINT (-121.9603509578021 37.933978627996346),1.91808763585,208.0,94521
6992,POINT (-121.97794336599742 37.93335116674349),1.34954631923,208.0,94521
6993,POINT (-121.99704117590699 37.932156149586184),0.0,91.0,94598
6994,POINT (-122.01594749986997 37.93198058855229),35.2554264084,91.0,94598
6995,POINT (-122.01592092291341 37.91794263503474),17.9364321896,91.0,94598
6996,POINT (-121.99661074354313 37.91814644172554),21.6330877855,91.0,94598
6997,POINT (-121.9784463285459 37.919483266240654),0.0,208.0,94521
6998,POINT (-121.96046858245914 37.91961216578665),0.0,286.0,94517
6999,POINT (-121.94182597860977 37.91953565406362),1.06101025558,286.0,94517
7000,POINT (-121.92342028688302 37.919341044604494),2.1152999012,286.0,94517
7001,POINT (-121.92337801093949 37.90502814008133),0.0,286.0,94517
7002,POINT (-121.94160421142888 37.9052830297004),0.0,286.0,94517
7003,POINT (-121.96008059843403 37.905640018052075),0.0,286.0,94517
7004,POINT (-121.97825575268712 37.90540795366918),0.0,286.0,94517
7005,POINT (-121.99685032953577 37.90365553525607),7.89531383944,91.0,94598
7006,POINT (-122.01596404828997 37.90370998199656),1.46711482275,91.0,94598
7007,POINT (-122.01602017451953 37.888826765193855),0.0182821179047,55.0,94596
7008,POINT (-121.99694945138081 37.8889019391253),0.90634520625,91.0,94598
7009,POINT (-121.97812929092231 37.88995737866901),0.199993653057,286.0,94517
7010,POINT (-121.95976525070942 37.890075414314026),0.0,286.0,94517
7011,POINT (-121.9415389765526 37.88998700190121),0.348664997538,286.0,94517
7012,POINT (-121.92335582284467 37.88981058538359),0.348664997538,286.0,94517
7013,POINT (-121.70507015013405 37.96149945048323),147.361561659,336.0,94513
7014,POINT (-121.72324773055426 37.961494536847646),61.6503961483,336.0,94513
7015,POINT (-121.74159524923232 37.961497229557345),43.0849609478,336.0,94513
7016,POINT (-121.75996252944509 37.961523214602536),6.83634938026,340.0,94531
7017,POINT (-121.77834101161038 37.96135488044549),3.27468627184,340.0,94531
7018,POINT (-121.79644795130483 37.96122187757494),7.50148833828,340.0,94531
7019,POINT (-121.79644413036992 37.94675162774436),0.0,340.0,94531
7020,POINT (-121.77820757774114 37.946963590455056),10.1028126725,340.0,94531
7022,POINT (-121.74153414268918 37.94699736508902),7.6179189709,336.0,94513
7023,POINT (-121.72330456542728 37.946648457336586),52.7696194526,336.0,94513
7024,POINT (-121.70522095118808 37.94662672890309),51.4429402173,336.0,94513
