,Zipcode,Lat,Lon
0,93201,35.862528,-119.573437
1,93201,35.804361,-119.573649
2,93201,35.8044,-119.555879
3,93201,35.78955,-119.555725
4,93201,35.789567,-119.538116
5,93201,35.789863,-119.537358
6,93201,35.789452,-119.526443
7,93201,35.789786,-119.500952
8,93201,35.789924,-119.50015
9,93201,35.789719,-119.49022
10,93201,35.789714,-119.471933
11,93201,35.789836,-119.46429
12,93201,35.790092,-119.427821
13,93201,35.832733,-119.427605
14,93201,35.832939,-119.409635
15,93201,35.876113,-119.409724
16,93201,35.876196,-119.394259
17,93201,35.920145,-119.426322
18,93201,35.920192,-119.426729
19,93201,35.920212,-119.428714
20,93201,35.922014,-119.4311
21,93201,35.934562,-119.447062
22,93201,35.934648,-119.463799
23,93201,35.934785,-119.473714
24,93201,35.934784,-119.537694
25,93201,35.934542,-119.537691
26,93201,35.880324,-119.537816
27,93201,35.877082,-119.543584
28,93201,35.862528,-119.573437
29,93202,36.317147,-119.717974
30,93202,36.313629,-119.718406
31,93202,36.313542,-119.716464
32,93202,36.312806,-119.715662
33,93202,36.310129,-119.715011
34,93202,36.307308,-119.715293
35,93202,36.305704,-119.715557
36,93202,36.305797,-119.709152
37,93202,36.305774,-119.708682
38,93202,36.305746,-119.70662
39,93202,36.305729,-119.70202
40,93202,36.31031,-119.702033
41,93202,36.310524,-119.703773
42,93202,36.311222,-119.701978
43,93202,36.313553,-119.701993
44,93202,36.313557,-119.705509
45,93202,36.315191,-119.705862
46,93202,36.315943,-119.701154
47,93202,36.316891,-119.697576
48,93202,36.316606,-119.699584
49,93202,36.31919,-119.699228
50,93202,36.321927,-119.697066
51,93202,36.321864,-119.702996
52,93202,36.316864,-119.702914
53,93202,36.316241,-119.706037
54,93202,36.320332,-119.705954
55,93202,36.32036,-119.707398
56,93202,36.322375,-119.707363
57,93202,36.322404,-119.708947
58,93202,36.319709,-119.708971
59,93202,36.318969,-119.713915
60,93202,36.318203,-119.715606
61,93202,36.31716,-119.715562
62,93202,36.317147,-119.717974
63,93203a,35.333694,-118.770792
64,93203a,35.327514,-118.770864
65,93203a,35.330065,-118.765606
66,93203a,35.331473,-118.761154
67,93203a,35.333734,-118.760173
68,93203a,35.333679,-118.762469
69,93203a,35.333694,-118.770792
70,93203b,35.208623,-118.967595
71,93203b,35.194043,-118.967614
72,93203b,35.193979,-118.94991
73,93203b,35.136535,-118.950094
74,93203b,35.13654,-118.941256
75,93203b,35.129165,-118.941275
76,93203b,35.129234,-118.950252
77,93203b,35.100396,-118.950108
78,93203b,35.100282,-118.92367
79,93203b,35.09293,-118.923718
80,93203b,35.092828,-118.914693
81,93203b,35.091165,-118.914974
82,93203b,35.088658,-118.916468
83,93203b,35.085696,-118.917365
84,93203b,35.078422,-118.917389
85,93203b,35.077127,-118.899706
86,93203b,35.074498,-118.899945
87,93203b,35.07447,-118.917401
88,93203b,35.067212,-118.917424
89,93203b,35.067107,-118.935343
90,93203b,35.038122,-118.935371
91,93203b,35.038125,-118.92173
92,93203b,35.005562,-118.942986
93,93203b,35.003468,-118.943514
94,93203b,34.9916,-118.942462
95,93203b,34.989847,-118.942887
96,93203b,34.986008,-118.945395
97,93203b,34.972734,-118.941204
98,93203b,34.972293,-118.940947
99,93203b,34.971788,-118.938512
100,93203b,34.971877,-118.935348
101,93203b,34.967732,-118.921718
102,93203b,34.964548,-118.913097
103,93203b,34.969308,-118.901218
104,93203b,34.972579,-118.89443
105,93203b,34.980045,-118.89885
106,93203b,34.981877,-118.900852
107,93203b,34.98446,-118.902189
108,93203b,34.984689,-118.858706
109,93203b,34.987263,-118.85556
110,93203b,35.009035,-118.8557
111,93203b,35.009004,-118.873511
112,93203b,35.016309,-118.873489
113,93203b,35.016317,-118.89112
114,93203b,35.023551,-118.891033
115,93203b,35.023642,-118.889947
116,93203b,35.023612,-118.873494
117,93203b,35.038105,-118.873366
118,93203b,35.038132,-118.864763
119,93203b,35.045366,-118.864872
120,93203b,35.045413,-118.846575
121,93203b,35.038123,-118.846581
122,93203b,35.038051,-118.829213
123,93203b,35.045345,-118.82924
124,93203b,35.045321,-118.819971
125,93203b,35.050284,-118.820383
126,93203b,35.050336,-118.825758
127,93203b,35.052531,-118.826724
128,93203b,35.052499,-118.811451
129,93203b,35.045281,-118.811376
130,93203b,35.045288,-118.808154
131,93203b,35.040685,-118.800539
132,93203b,35.036975,-118.79937
133,93203b,35.032396,-118.796142
134,93203b,35.02863,-118.792644
135,93203b,35.027684,-118.791114
136,93203b,35.024123,-118.794918
137,93203b,35.022232,-118.796257
138,93203b,35.021886,-118.797527
139,93203b,35.018841,-118.799568
140,93203b,35.018246,-118.800792
141,93203b,35.01527,-118.802407
142,93203b,35.011263,-118.806943
143,93203b,35.010393,-118.814847
144,93203b,35.008836,-118.814485
145,93203b,35.008424,-118.815932
146,93203b,35.009958,-118.819384
147,93203b,35.010137,-118.821467
148,93203b,35.009361,-118.823594
149,93203b,34.995379,-118.83154
150,93203b,34.993184,-118.832903
151,93203b,34.991194,-118.832068
152,93203b,34.983003,-118.830902
153,93203b,34.97863,-118.829316
154,93203b,34.970022,-118.82948
155,93203b,34.964555,-118.828837
156,93203b,34.962324,-118.82924
157,93203b,34.96258,-118.833344
158,93203b,34.962598,-118.850226
159,93203b,34.944304,-118.844815
160,93203b,34.941467,-118.844266
161,93203b,34.941055,-118.842319
162,93203b,34.940391,-118.843959
163,93203b,34.937711,-118.845766
164,93203b,34.937757,-118.844542
165,93203b,34.936407,-118.842734
166,93203b,34.935262,-118.842428
167,93203b,34.936442,-118.835588
168,93203b,34.937727,-118.834173
169,93203b,34.93918,-118.830615
170,93203b,34.938641,-118.829769
171,93203b,34.936279,-118.830668
172,93203b,34.937177,-118.828884
173,93203b,34.940731,-118.824929
174,93203b,34.940571,-118.811332
175,93203b,34.937663,-118.810005
176,93203b,34.936014,-118.810458
177,93203b,34.934711,-118.809186
178,93203b,34.932033,-118.804566
179,93203b,34.93439,-118.80455
180,93203b,34.93544,-118.805475
181,93203b,34.936141,-118.804703
182,93203b,34.932961,-118.803666
183,93203b,34.930698,-118.800712
184,93203b,34.929339,-118.798072
185,93203b,34.929098,-118.800428
186,93203b,34.927275,-118.801419
187,93203b,34.928088,-118.804197
188,93203b,34.926803,-118.804688
189,93203b,34.925295,-118.803741
190,93203b,34.924403,-118.805153
191,93203b,34.923779,-118.807853
192,93203b,34.92378,-118.799842
193,93203b,34.924788,-118.79854
194,93203b,34.924766,-118.794902
195,93203b,34.923616,-118.792523
196,93203b,34.926038,-118.791576
197,93203b,34.926083,-118.78738
198,93203b,34.926527,-118.781461
199,93203b,34.927485,-118.77687
200,93203b,34.927756,-118.77309
201,93203b,34.926184,-118.764809
202,93203b,34.92771,-118.76189
203,93203b,34.929186,-118.757244
204,93203b,34.930841,-118.755422
205,93203b,34.930645,-118.753393
206,93203b,34.931044,-118.746018
207,93203b,34.932273,-118.740628
208,93203b,35.028135,-118.741568
209,93203b,35.030851,-118.740647
210,93203b,35.030851,-118.732191
211,93203b,35.029015,-118.731978
212,93203b,35.031248,-118.728886
213,93203b,35.031951,-118.725894
214,93203b,35.031809,-118.723485
215,93203b,35.033203,-118.722251
216,93203b,35.035864,-118.721741
217,93203b,35.037737,-118.720683
218,93203b,35.03992,-118.71677
219,93203b,35.040671,-118.712312
220,93203b,35.043395,-118.709227
221,93203b,35.046162,-118.704773
222,93203b,35.048548,-118.701769
223,93203b,35.049255,-118.699054
224,93203b,35.05011,-118.698411
225,93203b,35.05126,-118.693747
226,93203b,35.051382,-118.68818
227,93203b,35.05279,-118.68322
228,93203b,35.052902,-118.681461
229,93203b,35.053811,-118.680077
230,93203b,35.056931,-118.679504
231,93203b,35.063556,-118.68522
232,93203b,35.066309,-118.687472
233,93203b,35.07008,-118.691074
234,93203b,35.070281,-118.692357
235,93203b,35.074761,-118.695113
236,93203b,35.089611,-118.708018
237,93203b,35.110406,-118.784649
238,93203b,35.135199,-118.772185
239,93203b,35.136144,-118.776013
240,93203b,35.135311,-118.777504
241,93203b,35.135724,-118.779673
242,93203b,35.135963,-118.777681
243,93203b,35.137632,-118.7787
244,93203b,35.138178,-118.783057
245,93203b,35.138864,-118.777666
246,93203b,35.13972,-118.785394
247,93203b,35.139336,-118.786191
248,93203b,35.136931,-118.786316
249,93203b,35.138274,-118.79004
250,93203b,35.137728,-118.792994
251,93203b,35.136127,-118.79526
252,93203b,35.141198,-118.795464
253,93203b,35.141789,-118.79467
254,93203b,35.142138,-118.796808
255,93203b,35.141381,-118.799214
256,93203b,35.141482,-118.805782
257,93203b,35.141131,-118.806476
258,93203b,35.144458,-118.814154
259,93203b,35.144803,-118.814426
260,93203b,35.146596,-118.814446
261,93203b,35.145389,-118.807887
262,93203b,35.145324,-118.804847
263,93203b,35.147205,-118.803422
264,93203b,35.152547,-118.803562
265,93203b,35.15406,-118.803105
266,93203b,35.158096,-118.800864
267,93203b,35.159221,-118.798131
268,93203b,35.160917,-118.797815
269,93203b,35.161262,-118.798735
270,93203b,35.1633,-118.798846
271,93203b,35.164605,-118.797341
272,93203b,35.168428,-118.794496
273,93203b,35.171221,-118.790926
274,93203b,35.174747,-118.788388
275,93203b,35.17596,-118.786993
276,93203b,35.179966,-118.783673
277,93203b,35.180288,-118.788414
278,93203b,35.194677,-118.788299
279,93203b,35.194697,-118.783263
280,93203b,35.20209,-118.788281
281,93203b,35.209244,-118.788166
282,93203b,35.209365,-118.752633
283,93203b,35.216562,-118.752558
284,93203b,35.234952,-118.752591
285,93203b,35.293388,-118.752686
286,93203b,35.316604,-118.752739
287,93203b,35.316714,-118.750675
288,93203b,35.318193,-118.752106
289,93203b,35.3203,-118.752915
290,93203b,35.32849,-118.753029
291,93203b,35.326989,-118.743538
292,93203b,35.326322,-118.740422
293,93203b,35.326726,-118.740271
